date,price
2000/4/13,21.927799
2000/4/14,23.355
2000/4/17,26.598801
2000/4/18,28.4153
2000/4/19,30.3615
2000/4/20,32.4375
2000/4/21,34.643299
2000/4/24,36.978802
2000/4/25,39.444099
2000/4/26,42.039101
2000/4/27,44.8936
2000/4/28,48.007599
2000/5/1,48.007599
2000/5/2,46.969601
2000/5/3,43.855598
2000/5/4,41.001099
2000/5/5,43.855598
2000/5/8,42.8176
2000/5/9,42.8176
2000/5/10,43.5961
2000/5/11,40.7416
2000/5/12,41.001099
2000/5/15,38.1465
2000/5/16,40.7416
2000/5/17,43.336601
2000/5/18,44.115101
2000/5/19,44.374599
2000/5/22,39.703499
2000/5/23,38.7953
2000/5/24,37.8871
2000/5/25,36.848999
2000/5/26,38.276299
2000/5/29,38.924999
2000/5/30,38.924999
2000/5/31,40.222599
2000/6/1,42.039101
2000/6/2,44.634102
2000/6/5,61.3978
2000/6/6,61.3978
2000/6/7,62.274899
2000/6/8,60.520699
2000/6/9,62.274899
2000/6/12,62.274899
2000/6/13,60.0821
2000/6/14,60.301399
2000/6/15,63.152
2000/6/16,62.274899
2000/6/19,58.3279
2000/6/20,59.6436
2000/6/21,58.766399
2000/6/22,60.0821
2000/6/23,58.108601
2000/6/26,54.8195
2000/6/27,51.091702
2000/6/28,49.7761
2000/6/29,51.749599
2000/6/30,54.380901
2000/7/3,54.380901
2000/7/4,54.380901
2000/7/5,54.380901
2000/7/6,54.380901
2000/7/7,54.380901
2000/7/10,54.380901
2000/7/11,54.380901
2000/7/12,54.380901
2000/7/13,54.380901
2000/7/14,54.380901
2000/7/17,54.380901
2000/7/18,54.380901
2000/7/19,54.380901
2000/7/20,54.380901
2000/7/21,54.380901
2000/7/24,54.380901
2000/7/25,54.380901
2000/7/26,54.380901
2000/7/27,54.380901
2000/7/28,54.380901
2000/7/31,54.380901
2000/8/1,54.380901
2000/8/2,54.380901
2000/8/3,54.380901
2000/8/4,54.380901
2000/8/7,54.380901
2000/8/8,54.380901
2000/8/9,54.380901
2000/8/10,54.380901
2000/8/11,54.380901
2000/8/14,54.380901
2000/8/15,54.380901
2000/8/16,54.380901
2000/8/17,54.380901
2000/8/18,54.380901
2000/8/21,54.380901
2000/8/22,54.380901
2000/8/23,54.380901
2000/8/24,54.380901
2000/8/25,54.380901
2000/8/28,54.380901
2000/8/29,54.380901
2000/8/30,54.380901
2000/8/31,54.380901
2000/9/1,54.380901
2000/9/4,54.380901
2000/9/5,54.380901
2000/9/6,54.380901
2000/9/7,54.380901
2000/9/8,54.380901
2000/9/11,54.380901
2000/9/12,54.380901
2000/9/13,54.380901
2000/9/14,54.380901
2000/9/15,54.380901
2000/9/18,54.380901
2000/9/19,54.380901
2000/9/20,54.380901
2000/9/21,54.380901
2000/9/22,54.380901
2000/9/25,54.380901
2000/9/26,54.380901
2000/9/27,54.380901
2000/9/28,54.380901
2000/9/29,54.380901
2000/10/2,54.380901
2000/10/3,54.380901
2000/10/4,54.380901
2000/10/5,54.380901
2000/10/6,54.380901
2000/10/9,54.380901
2000/10/10,54.380901
2000/10/11,54.380901
2000/10/12,54.380901
2000/10/13,54.380901
2000/10/16,54.380901
2000/10/17,54.380901
2000/10/18,54.380901
2000/10/19,54.380901
2000/10/20,54.380901
2000/10/23,54.380901
2000/10/24,54.380901
2000/10/25,54.380901
2000/10/26,54.380901
2000/10/27,54.380901
2000/10/30,54.380901
2000/10/31,54.380901
2000/11/1,54.380901
2000/11/2,54.380901
2000/11/3,54.380901
2000/11/6,54.380901
2000/11/7,54.380901
2000/11/8,54.380901
2000/11/9,54.380901
2000/11/10,54.380901
2000/11/13,54.380901
2000/11/14,54.380901
2000/11/15,54.380901
2000/11/16,54.380901
2000/11/17,54.380901
2000/11/20,54.380901
2000/11/21,54.380901
2000/11/22,null
2000/11/23,null
2000/11/24,null
2000/11/27,null
2000/11/28,null
2000/11/29,null
2000/11/30,null
2000/12/1,null
2000/12/4,null
2000/12/5,null
2000/12/6,null
2000/12/7,null
2000/12/8,null
2000/12/11,null
2000/12/12,null
2000/12/13,null
2000/12/14,null
2000/12/15,null
2000/12/18,null
2000/12/19,null
2000/12/20,null
2000/12/21,null
2000/12/22,null
2000/12/25,null
2000/12/26,null
2000/12/27,null
2000/12/28,null
2000/12/29,null
2001/1/1,null
2001/1/2,null
2001/1/3,null
2001/1/4,null
2001/1/5,null
2001/1/8,null
2001/1/9,null
2001/1/10,null
2001/1/11,null
2001/1/12,null
2001/1/15,null
2001/1/16,null
2001/1/17,null
2001/1/18,null
2001/1/19,null
2001/1/22,null
2001/1/23,null
2001/1/24,null
2001/1/25,null
2001/1/26,null
2001/1/29,null
2001/1/30,null
2001/1/31,null
2001/2/1,null
2001/2/2,null
2001/2/5,null
2001/2/6,null
2001/2/7,null
2001/2/8,null
2001/2/9,null
2001/2/12,null
2001/2/13,null
2001/2/14,null
2001/2/15,null
2001/2/16,null
2001/2/19,null
2001/2/20,null
